no,code,district,road,location,type,lat,long,folder_url
12,TNS 012,คลองสาน,เจริญนคร,หน้าวัดสุวรรณ (ใกล้โรงเรียนนครษฐิปโกรม),Type A,13.723502,100.509087,
13,TNS 013,คลองสาน,เจริญนคร,หน้าโรงเรียนนอนบาลสันตินีย์,Type A,13.715713,100.506186,
14,TNS 014,คลองสาน,เจริญนคร,ตรงข้ามสถานีย่อยการไฟฟ้านครหลวงคลองสาน (เยื้องซ.เจริญนคร 16),Type A,13.719655,100.508759,
15,TNS 015,คลองสาน,กรุงธนบุรี,หน้า หจก.ยังวิสัต,Type B2,13.721573,100.507836,
16,TNS 016,คลองสาน,เจริญนคร,ปากซอยเจริญนคร 66,Type B2,13.700773,100.487481,
17,TNS 017,คลองสาน,กรุงธนบุรี,ตรงข้าม หจก. ยังวิรัต,Type B2,13.72154,100.507422,
18,TNS 018,คลองสาน,ลาดหญ้า,ก่อนถึงแยกถนนเจริญนคร - ถนนลาดหญ้า(ข้างซ.17/1),Type B2,13.729342,100.50609,
19,TNS 019,คลองสาน,ลาดหญ้า,ตรงข้าม ซ 14,Type B2,13.729057,100.504356,
20,TNS 020,คลองสาน,ลาดหญ้า,ข้าง ซ. 13,Type B2,13.728758,100.503012,
21,TNS 021,คลองสาน,ลาดหญ้า,หน้าชุมเสาไทยสัทพ์ลาดหญ้า,Type B2,13.7276,100.49791,
22,TNS 022,คลองสาน,พญาไม้,ใกล้วัดพิชัยญาติ,Type B2,13.735719,100.498197,
23,TNS 023,คลองสาน,เจริญนคร,หน้าคาเฟ่พาราวโอเมก (ซ 34),Type B2,13.711713,100.500317,
24,TNS 024,คลองสาน,สมเด็จเจ้าพระยา,หน้าวัดอนุงคาราม (สมเด็จเจ้าพระยา ซอย 3),Type B2,13.733712,100.49831,
25,TNS 025,คลองสาน,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา ซ. 6,Type B2,13.733025,100.499567,
26,TNS 026,คลองสาน,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา ซ. 10,Type B2,13.732712,100.500668,
27,TNS 027,คลองสาน,สมเด็จเจ้าพระยา,ตรงข้ามสมเด็จเจ้าพระยา ซ.12,Type B2,13.732665,100.50122,
28,TNS 028,คลองสาน,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา ซ.18,Type B2,13.731717,100.503793,
29,TNS 029,คลองสาน,สมเด็จเจ้าพระยา,หน้า รพ. สมเด็จเจ้าพระยา (ตรงข้ามวัดทองธรรมชาติ),Type B2,13.7311,100.50531,
30,TNS 030,คลองสาน,เจริญนคร,เจริญนคร 28,ลอนโค้ง,13.714294,100.504253,
31,TNS 031,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,เยื้องตอนไดคุภาลัย ก่อนบ้านกรองน้ำ,Type B2,13.754981,100.4637,
32,TNS 032,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าแซ็วบร็วเดิมพาฟ ข้างร้านสหกรณ์หนิ้มแผน,Type B2,13.753022,100.454355,
33,TNS 033,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าโครงการหมู่บ้าน The Cheetah ก่อนปั๊ม Esso,Type B2,13.753762,100.41095,
34,TNS 034,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าคอนโด The President ก่อนถึงแยกโฆษาย,Type B2,13.754631,100.468062,
35,TNS 035,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าตลาดเทพจัยญ,Type B2,13.752712,100.452316,
36,TNS 036,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามร้านอาหารรัวข้าวเจ้าอิว,Type B2,13.753919,100.424032,
37,TNS 037,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ข้างบรีวร้านอาเมอร์ (วาศุกรม) โชว์รูม BMW,Type B2,13.753083,100.431621,
38,TNS 038,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ข้างจิรศักดิ์นักสัตยกรรม,Type B2,13.754024,100.416495,
39,TNS 039,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามศูนย์กลางตอดไม้ (2),Type B2,13.751921,100.444853,
40,TNS 040,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ข้างปั๊ม PTT ตรงข้ามศิริยา,Type B2,13.752829,100.448448,
41,TNS 041,บางกอกน้อย,อรุณอมรินทร์,ศักดิ์บัวโรงพยาบาลศิริราช,Type B2,13.7569738,100.483393,
42,TNS 042,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ใต้สะพานยกระดับพุทธมณฑลสาย 1 ปลายถนนนครอินทร์,Type B2,13.753326,100.42742,
43,TNS 043,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ใต้สะพานยกระดับพุทธมณฑลสาย 1 ปลายถนนนฤมลนิวงศ์,Type B2,13.753474,100.425937,
44,TNS 044,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าร้านศิริยา ตรงข้ามปั๊ม PTT,Type B2,13.752368,100.44793,
45,TNS 045,ตลิ่งชัน,คอนโด,ตรงข้าม คอนโด President ใกล้แยกโฆษาย,Type B2,13.754662,100.46749,
46,TNS 046,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามจิรวิทิตนักสัตยกรรม ก่อนถึงร้านอาหารอบอ้อย,Type B2,13.754512,100.416152,
47,TNS 047,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามซอยบางพรม 39,Type B2,13.752206,100.436471,
48,TNS 048,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าบ้านกรองน้ำ,Type B2,13.75517,100.465353,
49,TNS 049,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามปั๊ม Esso ก่อนถึงซอยแขกหนัง,Type B2,13.754073,100.412766,
50,TNS 050,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามวัดเตล้าเผง (กลางสวน) ข้าง Pet mall,Type B2,13.752214,100.440968,
51,TNS 051,ภาษีเจริญ,ราชพฤกษ์,ซอยราชพฤกษ์1 (ซอยวัดประดิษฐาราม),Type B2,13.722615,100.457517,
52,TNS 052,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามตลาดดอกไม้ ปากคลองตลาดใหม่ (2),Type B2,13.751931,100.444412,
53,TNS 053,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ตรงข้ามร้วนอ้วนอม อละไหล่ย์,Type B2,13.753203,100.457178,
54,TNS 054,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,ซอยบางพรม 39,Type B2,13.752488,100.43716,
55,TNS 055,บางกอกใหญ่,เพชรเกษม,บริวณแยกท่าพระ,Type B2,13.728186,100.471395,
56,TNS 056,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้า The Palazzo ข้างปั๊มบางจาก (1),Type B2,13.752671,100.452791,
57,TNS 057,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้า The Palazzo ข้างปั๊มบางจาก (2),Type B2,13.752698,100.452272,
58,TNS 058,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าวัดเทพพล,Type B2,13.752884,100.433886,
59,TNS 059,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าวัดเทพอง (กลางสวน) (1),Type B2,13.75219,100.441225,
60,TNS 060,ตลิ่งชัน,พรานนก-กาญจนาภิเษก,หน้าศูนย์กลางตลาดดอกไม้ (1),Type B2,13.752067,100.444836,
61,TNS 061,ทวีวัฒนา,พุทธมณฑล สาย 3,หน้าโรงไก่พุทธมณฑลธันี,Type A,13.771479,100.364071,
62,TNS 062,ทวีวัฒนา,พุทธมณฑล สาย 3,หน้า AIA พุทธมณฑลสาย 3 ซอย 18/1,Type A,13.776636,100.363976,
63,TNS 063,ทวีวัฒนา,พุทธมณฑล สาย 3,ก่อน พุทธมณฑลสาย 3 ซอย 19,Type A,13.780466,100.364034,
64,TNS 064,ทวีวัฒนา,พุทธมณฑล สาย 2,พุทธมณฑลสาย 2 ซอย 19,Type A,13.76215,100.394931,
65,TNS 065,ทวีวัฒนา,พุทธมณฑล สาย 2,หน้าบริษัท พรีมีเชียน โฮลดิ้ง จำกัด (ก่อนถึงแยกปิ่นเกล้า-นครชัยศรี),Type A,13.755745,100.395246,
66,TNS 066,ทวีวัฒนา,พุทธมณฑล สาย 2,หน้าบริษัท พรีมีเพลตเชียร์รัม จำกัด (ก่อนถึงแยกปิ่นเกล้า-นครชัยศรี),Type B2,13.779494,100.394635,
67,TNS 067,ทวีวัฒนา,พุทธมณฑล สาย 2,ตรงข้ามโรงพยาบาลสัตว์พุทธมณฑล และกฤษฎาไฟฟ้า (มาจากแยกเกล้า-ปิ่นเกล้า-นครชัยศรี),Type B2,13.778526,100.395086,
68,TNS 068,ทวีวัฒนา,พุทธมณฑล สาย 3,หน้าอาคารเลขที่ 55 และ 57,ลอนโค้ง,13.78224,100.363643,
69,TNS 069,ทวีวัฒนา,พุทธมณฑล สาย 3,ก่อนถึงแยกอีก 100 เมตร,Type B2,13.777098,100.363531,
70,TNS 070,ทวีวัฒนา,พุทธมณฑล สาย 2,ก่อน ซ. 26 (ตรงข้าม หจก.นครพนม ขนส่ง),Type B2,13.772164,100.394938,
71,TNS 071,ทวีวัฒนา,พุทธมณฑล สาย 2,หน้าหจก.นครพนม ขนส่ง ( เลยซอย 21/1 ),Type B2,13.769759,100.394833,
72,TNS 072,ทวีวัฒนา,เลียบคลองทวีวัฒนา,ม.กรุงเทพนนทบุรี,Type B,13.768752,100.344324,
73,TNS 073,ทวีวัฒนา,เลียบคลองทวีวัฒนา,ม.กรุงเทพนนทบุรี,Type B,13.767839,100.344628,
74,TNS 074,ทุ่งครุ,ประชาอุทิศ,"ปากซ.ประชาอุทิศ 54 (ใกล้ปั๊ม Esso, Kfc / Pizza, โรงเรียนรางราชพฤกษ์)",Type B2,13.643504,100.499076,
75,TNS 075,ทุ่งครุ,ประชาอุทิศ,ปากซอยประชาอุทิศ 61 (ป้ายก่อนถึงโค้ง),Type B2,13.644147,100.498987,
76,TNS 076,ทุ่งครุ,ประชาอุทิศ,ก่อนถึงซอยประชาอุทิศ 76 ในระยะทาง 34 เมตร,Type B2,13.626765,100.505803,
77,TNS 077,ทุ่งครุ,ประชาอุทิศ,ปากซ.ประชาอุทิศ 78 (ระหว่าง ซ.ประชาอุทิศ 76/1 และ 78),Type B2,13.624344,100.508308,
78,TNS 078,ทุ่งครุ,พุทธบูชา,ฝั่งตรงข้ามโรงเรียนนวมนาลวง (มาจากแยกนวมนาลวง),Type B2,13.647536,100.494776,
79,TNS 079,ทุ่งครุ,ประชาอุทิศ,ปากซอยประชาอุทิศ 53,Type B2,13.64636,100.497011,
80,TNS 080,ทุ่งครุ,ประชาอุทิศ,หน้าอิสสารวิทยาลัยแห่งประเทศไทย (ตรงข้ามซอย 60),Type B2,13.63804,100.501137,
81,TNS 081,ทุ่งครุ,ประชาอุทิศ,แยกถนนทุ่งครุใน ตัดกับถนนประชาอุทิศ,Type B2,13.622761,100.509975,
82,TNS 082,ทุ่งครุ,ประชาอุทิศ,ตรงข้ามอิสสารวิทยาลัยแห่งประเทศไทย,Type B2,13.637456,100.501251,
83,TNS 083,ทุ่งครุ,พุทธบูชา,หน้าโรงเรียนนวมนาลวง,Type B2,13.647738,100.494598,
84,TNS 084,ทุ่งครุ,พุทธบูชา,หน้าศูนย์เยาวนราษฎร์รัฐกำรุณะ,Type B2,13.648522,100.49327,
85,TNS 085,ทุ่งครุ,พุทธบูชา,ปากซอยพุทธบูชา 44,Type B2,13.650373,100.489164,
86,TNS 086,ทุ่งครุ,พุทธบูชา,ปากซอยพุทธบูชา 49,Type B2,13.650305,100.489178,
87,TNS 087,ทุ่งครุ,พุทธบูชา,หน้าร้านวัสดุก่อสร้าง 3ช ยเมนยอดโฮม ตรงข้ามซอยพุทธบูชา 37/1,Type B2,13.650564,100.479546,
88,TNS 088,ทุ่งครุ,พุทธบูชา,ปากซอยพุทธบูชา 37/1,Type B2,13.650567,100.47911,
89,TNS 089,บางแค,เพชรเกษม,หน้าโลตัส สาขาบางแค,Type A,13.7117,100.419556,
90,TNS 090,บางแค,พุทธมณฑล สาย 3,หน้าสวนแสงธรรม (มุ่งหน้าไปถนน บรมราชชนนี ),Type A,13.745738,100.364191,
91,TNS 091,บางแค,พุทธมณฑล สาย 3,หน้าสวนสงสรรม (มุ่งหน้าไปถนน เพชรเกษม ),Type A,13.746705,100.364033,
92,TNS 092,บางแค,พุทธมณฑล สาย 2,ก่อนร้านอาหารกม.ปรุงปรุ ( เลยคอนโดบางแวก มุ่งหน้า 7/1 ),Type A,13.722352,100.584598,
93,TNS 093,บางแค,เพชรเกษม,"หน้าท้องโลดสตาขาบางแค (ซ.เพชรเกษม 41, ใกล้อิสระโก้ (สาขาบางแค)",Type A,13.711978,100.416305,
94,TNS 094,บางแค,เพชรเกษม,ข้างวิทยาคารจันทน์ (หน้าบ้านเลขที่ 69/4),Type A,13.711563,100.416305,
95,TNS 095,บางแค,เพชรเกษม,ข้างวิทยาคารจันทน์ (หน้าบ้านเลขที่ 69/4),Type A,13.711694,100.414156,
96,TNS 096,บางแค,เพชรเกษม,ร้านสยามพัฒนาเต็ม (ป้ายก่อนถึง The Mall บางแค),Type A,13.71087,100.41021,
97,TNS 097,บางแค,เพชรเกษม,ข้าง ซอย 80 (หน้าร้านวัสดุก่อสร้างไทยสวัสดิ์ตาไม้),Type A,13.71083,100.41168,
98,TNS 098,บางแค,เพชรเกษม,"ข้างโรงพยาบาลบาลเกษมราษฎร์ (ข้างซ. 92), ใกล้โรงเรียนบางแค",Type A,13.709965,100.398128,
99,TNS 099,บางแค,เพชรเกษม,โรงเรียนอำนวยศิลป์ อนุบุรี,Type A,13.709652,100.392529,
100,TNS 100,บางแค,เพชรเกษม,ซอยบางจาก 3,ลอนโค้ง,13.6995798,100.377648,
101,TNS 101,บางแค,เพชรเกษม,ข้างสถานีไฟฟ้าย่อย (ใกล้โรงเรียนอำนวยศิลป์อนุบุรี),Type A,13.709484,100.390291,
102,TNS 102,บางแค,เพชรเกษม,ข้าง ซ. 65 (ทางเข้าสำนักปู้สวรรค),Type A,13.7086,100.384827,
103,TNS 103,บางแค,เพชรเกษม,ก่อนถึงเพชรเกษม ซ.96,Type A,13.708958,100.38468,
104,TNS 104,บางแค,เพชรเกษม,ข้าง ซ.เพชรเกษม 88 (หน้าไทชั้วรูม BMW),Type A,13.71037,100.402233,
105,TNS 105,บางแค,เพชรเกษม,ปากซอยเพชรเกษม 94 (หมู่บ้านวีรสรรค์),Type B2,13.70922,100.388034,
106,TNS 106,บางแค,เพชรเกษม,"หน้าร้านสิจะเรศน์ (ข้างทางเข้าโรงงานแก้ว), มาจากซ.เพชรเกษม 76/1",Type A,13.711029,100.410663,
107,TNS 107,บางแค,เพชรเกษม,ก่อนถึงร้านสรรพสินค้า Big C บางแค,Type B2,13.707413,100.366275,
108,TNS 108,บางแค,เพชรเกษม,ปากซอยเพชรเกษม 67,Type B2,13.708261,100.380576,
109,TNS 109,บางแค,เพชรเกษม,ตรงข้ามซอยเพชรเกษม 67,Type B2,13.708464,100.379469,
110,TNS 110,บางแค,เพชรเกษม,ก่อนถึงทางเข้าหมู่บ้านเกษฐกิจ,Type B2,13.708402,100.377087,
111,TNS 111,บางแค,เพชรเกษม,ใกล้ร้าน Honda เพชรเกษม 69,Type B2,13.708469,100.374821,
112,TNS 112,บางแค,เพชรเกษม,ก่อนถึงร้านสรรพสินค้า Big C บางแค,Type B2,13.70756,100.366316,
113,TNS 113,บางแค,เพชรเกษม,ซอยเพชรเกษม 69 (ใกล้ซอยไฟฟ้าวิจิตร),ลอนโค้ง,13.70459,100.375389,
114,TNS 114,บางแค,เพชรเกษม,ซอยเพชรเกษม 69 (ใกล้ซอยไฟฟ้าวิจิตร),Type A,13.709146,100.390434,
115,TNS 115,บางแค,ถนนหมู่บ้านเกษฐกิจ,ถนนหมู่บ้านเกษฐกิจ (ตันซอย),ลอนโค้ง,13.711135,100.377905,
116,TNS 116,บางแค,ถนนหมู่บ้านเกษฐกิจ,บริวณระหว่างซอยหมู่บ้านเกษฐกิจ 3-5,ลอนโค้ง,13.71361,100.377756,
117,TNS 117,บางแค,ถนนหมู่บ้านเกษฐกิจ,บริวณซอยหมู่บ้านเกษฐกิจ 6,ลอนโค้ง,13.71396,100.377656,
118,TNS 118,บางแค,ถนนหมู่บ้านเกษฐกิจ,บริวณระหว่างซอยหมู่บ้านเกษฐกิจ 26 - 28,ลอนโค้ง,13.718413,100.376603,
119,TNS 119,บางแค,ถนนหมู่บ้านเกษฐกิจ,บริวณซอยหมู่บ้านเกษฐกิจ 56,ลอนโค้ง,13.730778,100.375209,
120,TNS 120,บางแค,ถนนหมู่บ้านเกษฐกิจ,บริวณระหว่างซอยหมู่บ้านเกษฐกิจ 34-36,ลอนโค้ง,13.722078,100.374962,
121,TNS 121,บางแค,จรัญสนิทวงศ์,หน้าโรงแรม เดอ แสงเวส มาจากบริวณ9,Type A,13.737031,100.471034,
122,TNS 122,บางกอกน้อย,อิสรภาพ,ตรงข้ามอิสรภาพ 31 (ใกล้พิพิธภัณฑ์การรถไฟแห่งชาติไทย),Type A,13.743268,100.481727,
123,TNS 123,บางกอกน้อย,อิสรภาพ,ตรงข้ามอิสรภาพ 29 (ตรงข้ามวัดป่าโมก บ้านพิเศษ),Type A,13.740849,100.483479,
124,TNS 124,บางกอกน้อย,อิสรภาพ,หน้าสุดาราม 2 ดี ในร้า,Type A,13.737149,100.486289,
125,TNS 125,บางกอกน้อย,อิสรภาพ,หน้าวัดโพนเพชรบ (เรือง) (ตรงข้ามปั๊มน้ำมัน Caltex),Type A,13.741973,100.482862,
126,TNS 126,บางกอกน้อย,จรัญสนิทวงศ์,หน้าเทคโนโลยีสยาม (ตรงข้ามโรงเรียนแลงเขวิทยา),Type B2,13.737314,100.470981,
127,TNS 127,บางกอกน้อย,เพชรเกษม,ตรงข้ามร้าน ออล โต,Type B2,13.728524,100.478717,
128,TNS 128,บางกอกน้อย,บางกอกน้อย-ตลิ่งชัน,"หน้าศูนย์บริการสาธารณสุข 30, ใกล้โรงเรียนภาวนาวิทยา",Type A,13.7759,100.465953,
129,TNS 129,บางกอกน้อย,จรัญสนิทวงศ์,"ก่อนถึง ซ.จรัญสนิทวงศ์ 18 (ซ.วัดไทย โค้ง, ใกล้โรงเรียนวัดนาบัวลอสาง)",Type A,13.744344,100.470432,
130,TNS 130,บางกอกน้อย,อิสรภาพ,หน้าดินสินค้าของสด มาจากซ.อิสรภาพ 41 (ตรงข้ามซ.กาญจนาภิเษก),Type B2,13.767237,100.476564,
131,TNS 131,บางกอกน้อย,อิสรภาพ,เยื้องกรมกรมขนส่งทหารเรือ (ใกล้พิพิธภัณฑ์การรถไฟแห่งชาติไทย),Type A,13.747417,100.479434,
132,TNS 132,บางกอกน้อย,อิสรภาพ,เยื้องกรมกรมขนส่งทหารเรือ (ใกล้พิพิธภัณฑ์การรถไฟแห่งชาติไทย),Type A,13.747351,100.479475,
133,TNS 133,บางกอกน้อย,พรานนก,เยื้องกรมกรมขนส่งทหารเรือ (ใกล้ร้านอาหารออลดิน),Type A,13.755875,100.482233,
134,TNS 134,บางกอกน้อย,จรัญสนิทวงศ์,ใกล้ ซ.จรัญสนิทวงศ์ 43 (ใกล้พิพิธภัณฑ์การรถไฟจรัญสนิทวงศ์),Type B2,13.768986,100.478139,
135,TNS 135,บางกอกน้อย,จรัญสนิทวงศ์,หน้าเซ็นเทรียลโบนเส็ฟท์วาร์ท,Type A,13.758928,100.469409,
136,TNS 136,บางกอกน้อย,ราชพฤกษ์,จากแยกบนเกตกันตัด ราชพฤกษ์ มุ่งหน้าไปเพชรเกษม,Type B,13.736598,100.44807,
137,TNS 137,บางกอกน้อย,จรัญสนิทวงศ์,ตรงข้ามพิพิธภัณฑ์การรถไฟจรัญสนิทวงศ์และ ซ.จรัญสนิทวงศ์ 41,Type A,13.767401,100.476882,
138,TNS 138,บางกอกน้อย,จรัญสนิทวงศ์,ตรงข้ามพิพิธภัณฑ์การรถไฟจรัญสนิทวงศ์และ ซ.จรัญสนิทวงศ์ 41,Type B,13.767155,100.476868,
139,TNS 139,บางกอกน้อย,จรัญสนิทวงศ์,สามแยกกาญจนบบพท์,Type B2,13.763392,100.473445,
140,TNS 140,บางกอกน้อย,บรมราชชนนี,หน้าห้างสรรพสินค้าโลตัส สาขาปิ่นเกล้า,Type B2,13.776772,100.478377,
141,TNS 141,บางกอกน้อย,บรมราชชนนี,หน้าห้างสรรพสินค้าโลตัส สาขาปิ่นเกล้า,Type B2,13.776842,100.478274,
142,TNS 142,บางกอกน้อย,บรมราชชนนี,หน้าห้างสรรพสินค้า Central สาขาปิ่นเกล้า,Type B2,13.77888,100.476493,
143,TNS 143,บางกอกน้อย,บรมราชชนนี,หน้าคอนโดลดมุ้มพีเลฟ โครงการ 2,Type B2,13.780684,100.475006,
144,TNS 144,บางกอกน้อย,บรมราชชนนี,ทางเข้า รพ.เจ้าพระยา,Type B2,13.70936,100.390148,
145,TNS 145,บางกอกน้อย,บางขุนนนท์,ตรงข้ามซอยบางขุนนนท์ 25,Type B2,13.772131,100.46775,
146,TNS 146,บางกอกน้อย,บางขุนนนท์,หน้ากรมบังคับคดี,Type B2,13.776789,100.465218,
147,TNS 147,บางกอกน้อย,ถนนจรัญฯ,ก่อนซอยจรัญฯ 45,Type B,13.77107,100.479319,
148,TNS 148,บางกอกน้อย,บางขุนนนท์,ฝังตรงข้ามวัดสิตสตาราม,ลอนโค้ง,13.766052,100.472025,
149,TNS 149,บางขุนเทียน,บางขุนเทียน-ชายทะเล,ก่อนซอยบางขุนเทียน-ชายทะเล 10,Type B2,13.651671,100.431393,
150,TNS 150,บางขุนเทียน,บางขุนเทียน-ชายทะเล,หน้าโรงงาน ด.วิจิตร เลยซอยบางขุนเทียนทะเล 3,Type B2,13.646401,100.431655,
151,TNS 151,บางขุนเทียน,บางขุนเทียน-ชายทะเล,ปากซอยบางขุนเทียนทะเล 5,Type B2,13.643737,100.431862,
152,TNS 152,บางขุนเทียน,บางขุนเทียน-ชายทะเล,หน้าบริษัท ธ.โลหะ ข.เลขที่จำกัด ก่อนซอยบางขุนเทียนทะเล 13,Type B2,13.633958,100.433554,
153,TNS 153,บางขุนเทียน,บางขุนเทียน-ชายทะเล,หน้าบริษัทแสงรุ้งกรุ๊ป ตรงข้ามธนาคารกสิกรไทยสาขาบางขุนเทียนทะเล เลยแยกแสงนคร,Type B2,13.631908,100.433561,
154,TNS 154,บางขุนเทียน,บางขุนเทียน-ชายทะเล,หน้าบริษัทสตาร์ส อออร์ฟ ตรงข้ามซอยบางขุนเทียนทะเล 5,Type B2,13.641811,100.431695,
155,TNS 155,บางขุนเทียน,บางขุนเทียน-ชายทะเล,ปากซอยบางขุนเทียนทะเล 16,ลอนโค้ง,13.658733,100.4297,
156,TNS 156,บางบอน,เอกชัย,หน้าตลาดบางบอน (เอกชัย 64/7),Type B2,13.673463,100.424536,
157,TNS 157,บางบอน,เอกชัย,ปากซอยเอกชัย 64 (เลาตอนกิจ),Type B2,13.676836,100.431128,
158,TNS 158,บางบอน,เอกชัย,หน้าบริษัทกระทิงแดง(ตรงข้ามซอยเอกชัย69),Type B2,13.678459,100.434172,
159,TNS 159,บางบอน,เอกชัย,หน้าห้างคาร์ฟู หลังที่ 1,Type B2,13.679137,100.434826,
160,TNS 160,บางบอน,เอกชัย,หน้าห้างคาร์ฟู หลังที่ 2,Type B2,13.679197,100.434876,
161,TNS 161,บางบอน,เอกชัย,หน้าห้างคาร์ฟู(ของกรมการ),Type B2,13.679154,100.434718,
162,TNS 162,บางบอน,เอกชัย,เอกชัย 83/1,Type B2,13.675961,100.429713,
163,TNS 163,บางบอน,เอกชัย,ใกล้ทีโอทีเอกชัย (ก่อนถึงซอยเอกชัย 85),Type B2,13.673714,100.425035,
164,TNS 164,บางบอน,เอกชัย,หน้าผู้มีเทพแท็กซี่ (ก่อนถึงซอยเอกชัย 70),Type B2,13.67012,100.419002,
165,TNS 165,บางบอน,เอกชัย,ปากซอยเอกชัย 89/1,Type B2,13.67017,100.418826,
166,TNS 166,บางบอน,เอกชัย,หน้าร้าน น.พ. บ.จ.เลนิงส์ อนนทรัพย์ (ใกล้ปากซอยเอกชัย 76),Type B2,13.669181,100.416403,
167,TNS 167,บางบอน,เอกชัย,หน้าบริษัท สุนทรพลท์อ็อกซ์ตัส จำกัด (เยื้องปากซอยเอกชัย 76),Type B2,13.669126,100.416328,
168,TNS 168,บางบอน,เอกชัย,ใกล้ปั๊มไบเปิ้ลโฟ (ทางเข้าสำนักงานเดลเลอซิตี แอลฟซี),Type B2,13.667088,100.413068,
169,TNS 169,บางบอน,เอกชัย,ตรงข้ามโปรยบัณฑิตบางบอน (เยื้องปากซอยเอกชัย 89/8),Type B2,13.666581,100.412247,
170,TNS 170,บางพลัด,ราชวิถี,หน้า Mini Big C ( ก่อนแยกบางพลัด ),Type A,13.783597,100.49652,
171,TNS 171,บางพลัด,สิรินธร,"หน้าบ้านเลขที่ 1909/613 (ก่อนถึงห้างห้วยขวางตั้งเสิ้ง, ใกล้ปั๊มน้ำมัน Esso), ก่อนถึงซ.สิรินธร 2",Type B2,13.786224,100.489085,
172,TNS 172,บางพลัด,บรมราชชนนี,หน้าร้านบาร์นอัสส์,Type B2,13.784964,100.470297,
173,TNS 173,บางพลัด,บรมราชชนนี,หน้าโรงแรมรอยัล ตีตี้,Type B2,13.783758,100.471809,
