no,code,district,road,location,type,lat,long,folder_url
40,MS 045,ดุสิต,สุโขทัย,ตรงข้ามพรรคชาติไทย,Type A,13.778688,100.515611,
41,MS 046,ดุสิต,พิษณุโลก,หน้าศูนย์ส่งเสริมกีฬาไฮไลมปิค,Type A,13.769621,100.506186,
42,MS 047,ดุสิต,ลูกหลวง,หน้าสำนักงานทรัพย์สินส่วนพระมหากษัตริย์,Type A,13.766947,100.505991,
43,MS 048,ดุสิต,สวรรคโลก,หน้าบ้านเลขที่ ๑๘๔ (เลยแยกยมราช),Type B,13.758480,100.521061,
44,MS 049,ดุสิต,ประดิพัทธ์,หน้ากรมทหารปืนใหญ่,Type B2,13.792811,100.532991,
45,MS 050,ดุสิต,นครไขยศรี,ตรงข้ามวัดแก้ได้,Type B2,13.782290,100.517274,
46,MS 051,ดุสิต,นครไขยศรี,หน้ากรมการขนส่งทหารบก (ตรงข้ามปั๊ม ปตท.) ก่อนถึงแยกสะพานแดง,Type A,13.793092,100.531497,
47,MS 052,วังทองหลาง,ลาดพร้าว,หน้า Big C ลาดพร้าว (๑),Type B,13.784588,100.612524,
48,MS 053,วังทองหลาง,ลาดพร้าว,หน้า Big C ลาดพร้าว (๒),Type B,13.784630,100.612678,
49,MS 054,วังทองหลาง,ลาดพร้าว,หน้า Big C ลาดพร้าว (๓),Type B,13.784493,100.612704,
50,MS 055,วังทองหลาง,ลาดพร้าว,หน้า ธ.ไทยพาณิชย์ สาขาลาดพร้าว,Type B,13.792903,100.597313,
51,MS 056,วังทองหลาง,ลาดพร้าว,หน้าเสริมมิตรภัตตาคาร (๑),Type A,13.789904,100.602369,
52,MS 057,วังทองหลาง,ลาดพร้าว,หน้าแฟลตตำรวจ โชคชัย ๔,Type B2,13.795350,100.592966,
53,MS 058,วังทองหลาง,ลาดพร้าว,หน้าสำนักงานไปรษณีย์โทรเลขลาดพร้าว,Type B,13.789874,100.602760,
54,MS 059,วังทองหลาง,ลาดพร้าว,ข้างท็อปส์ซุปเปอร์มาร์เก็ต,Type B,13.782886,100.615098,
55,MS 060,วังทองหลาง,ลาดพร้าว,ก่อนซ.ลาดพร้าว 89 (1/2),Type B,13.780831,100.618945,
56,MS 061,วังทองหลาง,ลาดพร้าว,ก่อนทางเข้าร.บ.บางกอกศึกษา,Type B,13.780433,100.619167,
57,MS 062,วังทองหลาง,ลาดพร้าว,เยื้องฟุตแลนด์ ลาดพร้าว,Type B,13.778642,100.622454,
58,MS 063,วังทองหลาง,ลาดพร้าว,หน้าลาดพร้าวคาร์เซ็นเตอร์ (ตรงข้าม ซ.ลาดพร้าว ๙๗),Type B,13.777289,100.624920,
59,MS 064,วังทองหลาง,ลาดพร้าว,ปากทางลาดพร้าว ๑๐๘,Type B,13.775807,100.627552,
60,MS 065,วังทองหลาง,ลาดพร้าว,หน้า Sirius Plaza ใกล้ซอยลาดพร้าว ๘๗,Type B,13.782965,100.615123,
61,MS 066,วังทองหลาง,ลาดพร้าว,ปากซอยลาดพร้าว 69 (ซอยหน้าเนียบ) ก่อนถึงรถไฟฟ้าสถานีลาดพร้าว 71,Type B,13.787788,100.606555,
62,MS 067,วังทองหลาง,ลาดพร้าว,ตรงข้ามซอยลาดพร้าว ๔๗,Type A,13.792875,100.597022,
63,MS 068,วังทองหลาง,ลาดพร้าว,ตรงข้ามเลทพลีลา ซอย ๗,Type B,13.762595,100.607821,
64,MS 069,วังทองหลาง,เทพลีลา,หน้าอาคารวิศวกรรมสถาน (วสท.),Type B2,13.763979,100.606350,
65,MS 070,วังทองหลาง,เทพลีลา,ธุรกิจ ปกı. (สมาคมธุรกิจแห่งประเทศไทย),Type B2,13.762836,100.607922,
66,MS 071,วังทองหลาง,เทพลีลา,ก่อนถึง ถ.เทพลีลา ซ. ๑๐,Type B2,13.761587,100.609342,
67,MS 072,วังทองหลาง,เทพลีลา,ด้านหน้าทางเข้าบ้าน หินอ่อน จก,Type B2,13.765314,100.604729,
68,MS 073,วังทองหลาง,เทพลีลา,ป้ายแรกจากแยก ซ.รามคำแหงเข้า ซ.เทพลีลา,Type B2,13.758047,100.614992,
69,MS 074,วังทองหลาง,ประดิษฐ์มนูธรรม,ใกล้ทางเข้า สนง. ประปาสาขาลาดพร้าว,Type B2,13.763420,100.598392,
70,MS 075,วังทองหลาง,ประดิษฐ์มนูธรรม,หน้าอาคารสำนักงานขาย ไอริส เรสซิเดนซ์ (เยื้องห้างโลตัส สาขารามอินทรา),Type B2,13.781449,100.608002,
71,MS 076,วังทองหลาง,ประดิษฐ์มนูธรรม,หน้าปั๊มเชลล์ (แยกอินทรอินทรากรณ์),Type B2,13.777340,100.607474,
72,MS 078,วังทองหลาง,ประดิษฐ์มนูธรรม,ใกล้แถวดอนตดีค และ ใกล้ร้านอาหารบ้านต้นซุง,Type B2,13.769002,100.604093,
73,MS 079,วังทองหลาง,ประดิษฐ์มนูธรรม,ใกล้คริสกาณาตพัคมเทน,Type B2,13.793257,100.611241,
74,MS 080,วังทองหลาง,ประดิษฐ์มนูธรรม,หน้าบ้านทรงไทย (ใกล้ทางเข้าซอยลาดพร้าว ๗๑),Type B2,13.796597,100.612954,
75,MS 081,วังทองหลาง,ประดิษฐ์มนูธรรม,หน้าหมู่บ้าน ๘๔ (ใกล้อาหารกวยเตี๋ยวสุโขทัย),Type B2,13.780288,100.607277,
76,MS 082,วังทองหลาง,ลาดพร้าว,เลยซอยลาดพร้าว ๙๗ (มาจาก Tops และ Foodland),Type B2,13.777313,100.625235,
77,MS 083,วังทองหลาง,ลาดพร้าว,ตรงข้ามมลายโคชิย ๔,Type B2,13.794016,100.595006,
78,MS 084,ห้วยขวาง,พระราม ๙,หน้ากรมการผังเมือง (ตรงข้าม RCA),Type B,13.755594,100.573946,
79,MS 085,ห้วยขวาง,เพชรบุรีตัดใหม่,ตรงข้ามสถานถวอนวอตตโมนาลิซา ทางไป ร.ร.เซ็นต์ดอมินิก,Type B,13.748543,100.566314,
80,MS 086,ห้วยขวาง,พระราม ๙,หน้ากรมการผังเมืองโกลี ps๔๐๘,Type B,13.755190,100.574179,
81,MS 087,ห้วยขวาง,เพชรพระราม,ตรงข้ามปั๊มน้ำมานจาก และศูนย์มิตตูปิติ,Type B2,13.746377,100.598224,
82,MS 088,ห้วยขวาง,เทียมร่วมมิตร,ตรงข้าม B-Quick ข้างเมเคลน,Type B2,13.769464,100.587927,
83,MS 089,ห้วยขวาง,เทียมร่วมมิตร,ตรงข้ามธนาคารกรุงไทย,Type B2,13.768266,100.595929,
84,MS 090,ห้วยขวาง,ประดิษฐ์มนูธรรม,ต้นถนนประดิษฐ์มนูธรรมมาจากพระราม ๙ ก่อนขึ้นทางด่วน,Type B2,13.752745,100.593583,
85,MS 091,ห้วยขวาง,ประดิษฐ์มนูธรรม,ก่อนทางเข้าวัดพระราม ๙ กาญจนาภิเษก,Type B2,13.757552,100.595162,
86,MS 092,ห้วยขวาง,ประดิษฐ์มนูธรรม,ใกล้ สยามแอดมินิสเทรทีฟ แมนเนจเม้นท์ จก. (ใกล้ร้าน Index Furniture),Type B2,13.770375,100.604424,
87,MS 093,ห้วยขวาง,ประดิษฐ์มนูธรรม,ใกล้ร้านอาหารหยิงฟิง (ใกล้ร้านอาหาร Shelter) หน้า NICHE 3,Type B2,13.776246,100.606655,
88,MS 094,ห้วยขวาง,ประดิษฐ์มนูธรรม,หน้าบ้านเลขที่ ๕๗๗,Type B2,13.765423,100.601075,
89,MS 095,ห้วยขวาง,ประดิษฐ์มนูธรรม,เลยซอยจำเนียรเสริม,Type B2,13.763673,100.599900,
90,MS 096,ห้วยขวาง,ประดิษฐ์มนูธรรม,ก่อนถึงคลองลาดพร้าว (ใกล้ร้านอาหาร),Type B2,13.760426,100.597318,
91,MS 097,ห้วยขวาง,ประดิษฐ์มนูธรรม,หน้าสถานีตำรวจทางด่วน สถานีย่อย ๐๓,Type B2,13.755669,100.595420,
92,MS 098,วังทองหลาง,ลาดพร้าว,ใกล้ ซอยลาดพร้าว ๔๐,Type B2,13.796272,100.590957,
93,MS 099,ห้วยขวาง,พระราม ๙,หน้า บ.วีรินเบอร์ จำกัด เยื้องศูนย์ย่อยอด้า,Type B2,13.751251,100.595679,
94,MS 100,ห้วยขวาง,พระราม ๙,ก่อนถึงศูนย์ย่อยอด้า และศูนย์โตโยต้า,Type B2,13.750883,100.595461,
95,MS 101,วังทองหลาง,ลาดพร้าว,ซอยลาดพร้าว ๗๑ (หน้าบริษัท ไม่กำรุ้ป),Type B2,13.787721,100.607944,
96,MS 102,วังทองหลาง,ลาดพร้าว,ก่อนถึงปากซอยลาดพร้าว ๔๐,Type B2,13.785292,100.610550,
97,MS 103,วังทองหลาง,ลาดพร้าว,ก่อนถึงปากซอยลาดพร้าว ๔๐/๓,Type B2,13.787413,100.606726,
98,MS 104,วังทองหลาง,ลาดพร้าว,ปากซอยลาดพร้าว ๔๕/๑,Type B2,13.794078,100.594976,
99,MS 105,พระนคร,ราชินี,ตรงข้ามศาลเจ้าพ่อหอกลอง,Type B2,13.745824,100.496266,
100,MS 106,พระนคร,ราชินี,ตรงข้ามกรมที่ดิน,Type B2,13.743785,100.495733,
101,MS 107,พระนคร,วิสุทธิกษัตริย์,ตรงข้ามกรมที่ดิน,Type B2,13.760129,100.506906,
102,MS 108,พระนคร,อัษฎางค์,ตรงข้ามวิศวกรราขบพิตร,Type B2,13.749052,100.496474,
103,MS 109,พระนคร,อัษฎางค์,ตรงข้ามตลาดส่งเสริมเกษตรไทย,Type B2,13.743888,100.496305,
104,MS 110,พระนคร,อัษฎางค์,ตรงข้ามปนุพงษ์ เซลแอนต์เซอร์วิส,Type B2,13.746311,100.496044,
105,MS 111,พระนคร,สามเสน,หน้าธนาคารแห่งประเทศไทย,Type B2,13.768015,100.502080,
106,MS 112,พระนคร,พระอาทิตย์,หน้าโรงแรมริว่า อยู่อย่า,Type B2,13.761939,100.493410,
107,MS 113,สัมพันธวงศ์,ข้าวหลาม,ตรงข้ามธนาคารเอเชีย,Type B2,13.736686,100.514774,
108,MS 114,ห้วยขวาง,พระราม ๙,หน้าเลียบนา,Type B2,13.755394,100.583402,
109,MS 115,ห้วยขวาง,พระราม ๙,หน้าเจ้อร์นาลิสท์,Type B2,13.755782,100.583622,
110,MS 116,ห้วยขวาง,พระราม ๙,หน้าศูนย์เป็นค์ ถนนพระราม ๙,Type B2,13.753431,100.585913,
111,MS 117,ห้วยขวาง,พระราม ๙,พระรามเก้าซอย ๕,Type B2,13.756040,100.568007,
112,MS 118,ดินแดง,ประชาสงเคราะห์,ซอยประชาสงเคราะห์ ๔๕,Type B2,13.778361,100.567446,
113,MS 119,พญาไท,พระราม ๖,ตรงข้ามซอยร่วมมิตร,Type A,13.793698,100.538440,
114,MS 120,พญาไท,พระราม ๖,หน้าโรงสูบน้ำที่ ๗,Type A,13.773811,100.530731,
115,MS 121,พญาไท,พระราม ๖,ตรงข้ามกระทรวงการคลัง,Type A,13.782305,100.533990,
116,MS 122,พญาไท,พระราม ๖,ข้างพระราม ๖ ซ.๒๐๔ (ซอยศาสนา),Type A,13.776903,100.532140,
117,MS 123,พญาไท,พระราม ๖,ตรงข้ามปากซอยศาสนา,Type A,13.776640,100.531493,
118,MS 124,พญาไท,นครไขยศรี,เยื้องโรงกรองน้ำสามเสน,Type A,13.775574,100.529924,
119,MS 125,ราชเทวี,นิคมมักกะสัน,หน้าการนิคมแห่งประเทศไทย,Type A,13.754355,100.544537,
120,MS 126,ราชเทวี,นิคมมักกะสัน,หน้าการนิคมแห่งประเทศไทย,Type A,13.754413,100.544354,
121,MS 127,ราชเทวี,นิคมมักกะสัน,หน้าโรงพยาบาลรถไฟ,Type A,13.752333,100.552014,
122,MS 128,วังทองหลาง,ลาดพร้าว,หน้าศึกษาภัณฑ์,Type B2,13.791170,100.600467,
123,MS 129,วังทองหลาง,ลาดพร้าว,หน้าโรงพยาบาลลาดพร้าว,Type B2,13.778292,100.623584,
124,MS 130,ดินแดง,ประชาสงเคราะห์,ตรงข้ามเมืองไทย - ภัทร คอมเพล็กซ์,Type B2,13.787294,100.573883,
125,MS 131,ป้อมปราบศัตรูพ่าย,ดำรงรักษ์,หน้ากรมพัฒนาสังคมและสวัสดิการ (ทดแทน),Type B2,13.755008,100.516130,
126,MS 132,ดินแดง,ประชาสงเคราะห์,หน้าแฟลตใกล้ สำนักงานขุมการเนเหมา,Type B2,13.764338,100.556446,
127,MS 134,ดินแดง,ประชาสงเคราะห์,แยกแฟลต ๗๑ อ.บนถนนประชาสงเคราะห์ (สามแยก) ตรงข้ามแฟลต ๒๔,Type B2,13.775227,100.567172,
128,MS 135,ดินแดง,ประชาสงเคราะห์,โค้งแฟลต ๗๑ อ.บนซอยประชาสงเคราะห์ ๒๔,Type B2,13.775282,100.567154,
129,MS 136,ดินแดง,ประชาสงเคราะห์,หน้าโรงเรียนฝึกอาชีพดินแดง (หน้ากองวิเคราะห์จิจัย),Type B2,13.762727,100.555749,
130,MS 137,ดินแดง,ประชาสงเคราะห์,ซอยประชาสงเคราะห์ ๑๑,Type B2,13.765528,100.557055,
131,MS 138,ดินแดง,ประชาสงเคราะห์,ซอยประชาสงเคราะห์ ๑๓,Type B2,13.767173,100.557616,
132,MS 139,ดินแดง,ประชาสงเคราะห์,ก่อนถึงศูนย์ประสุข (หน้าศูนย์ย์บริการขุมชน เยื้องซ.๓๒),Type B2,13.776547,100.568120,
133,MS 141,ดินแดง,รัชดาภิเษก,หน้าสถิตดาภิเษก ๑๑,Type B2,13.779412,100.573536,
134,MS 142,ดินแดง,รัชดาภิเษก,สถิตดาภิเษก ๑๕,Type B2,13.782423,100.573672,
135,MS 143,ดุสิต,เดชะวนิช,ตรงข้ามบ้านพักทหารอากาศ (ใกล้แยกสะพานแดง),Type B2,13.794839,100.530865,
136,MS 144,ดุสิต,พระราม ๕,บ้านพักข้าราชการกระทรวงการโทรมกม (ข้าง ร.จ.ระนอง),Type B2,13.789493,100.527984,
137,MS 145,ดุสิต,พระราม ๕,โรงเรียนช่างอากาศบำรุง,Type B2,13.784051,100.524972,
138,MS 146,ดุสิต,พระราม ๕,ตรงกรมการทหารสื่อสาร (หน้าแฟลดขนส่งทหารบก),Type B2,13.792447,100.529527,
139,MS 147,ดุสิต,พระราม ๕,หน้า บ. B L M Group,Type B2,13.780073,100.526493,
140,MS 148,ดุสิต,พระราม ๕,ข้าง ซ.สุจริต ๑ (ตรงข้ามโรงเรียนวชิราวุธวิทยาลัย ๔),Type B2,13.765680,100.514515,
141,MS 149,ดุสิต,พระราม ๕,หน้าโรงเรียนชุมนุมบพิตร (ฝั่งถนนพระราม ๕),Type B2,13.775904,100.520488,
142,MS 150,ดุสิต,พระราม ๕,ตรงข้ามปากซอยสวนสุข (ใกล้แยกราชวัตร์),Type B2,13.780226,100.522717,
143,MS 151,ดุสิต,พระราม ๕,หน้ากองพันทหารราบ,Type B2,13.786123,100.526034,
144,MS 152,ดุสิต,พระราม ๕,หน้าสนามยิงปืนบทบ.๑ (ตรงข้าม บ. B L M Group),Type B2,13.787458,100.526796,
145,MS 153,ดุสิต,พระราม ๕,หน้ากรมการทหารสื่อสาร (ตรงข้ามแฟลดขสบ.),Type B2,13.792310,100.529277,
146,MS 154,ดุสิต,เดชะวนิช,เยื้องหอประชุมกรมทหารช่างอากาศ,Type B2,13.796538,100.531523,
147,MS 155,ดุสิต,ราชวิถี,หน้าพระตำหนักราชวิถี,Type B2,13.776473,100.512855,
148,MS 157,ดุสิต,ทหาร,หน้ากรมทหารสารใกล้แยกสะพานแดง,Type B2,13.793984,100.528677,
149,MS 158,ดุสิต,พระราม ๕,หน้าโรงเรียนสรรพาวุธทหารบก (ตรงข้ามทหารสื่อสาร),Type B2,13.795580,100.525874,
150,MS 159,ดุสิต,ทหาร,ตรงข้ามโรงเรียนทหารสรรพาวุธ,Type B2,13.795123,100.526687,
151,MS 161,ดุสิต,ทหาร,ตรงข้ามกองพล ปตอ.,Type B2,13.796618,100.522653,
152,MS 162,ดุสิต,ทหาร,หน้ากองพล ปตอ.,Type B2,13.796930,100.522274,
153,MS 163,ดุสิต,ประดิพัทธ์,ตรงข้าม(ขสทบ.)กรมทหารขนส่งทหารบก,Type B2,13.793333,100.530840,
154,MS 164,ดุสิต,ทหาร,หน้ากองพันทหารบินใหญ่ ๑ รอ.,Type B2,13.792873,100.533216,
155,MS 165,ดุสิต,ราชสีมา,หน้าอัตราประชุมครูสา,Type B2,13.767162,100.507103,
156,MS 166,ดุสิต,ราชสีมา,ทรัพย์สินมหากษัตริย์,Type B2,13.767377,100.507162,
157,MS 167,ดุสิต,วังทองหลาง,หัวลาดพร้าว ๗๑ (ทดแทน),Type B,13.791129,100.608385,
158,MS 168,ดุสิต,ราชสีมา,หน้ากรมส่งเสริมการปกครองท้องถิ่น (หน้า ร.พ.ข.),Type B2,13.773080,100.509906,
159,MS 169,ดุสิต,ราชสีมา,ตรงข้าม ร.พ.ข.,Type B2,13.772562,100.509660,
160,MS 170,ดุสิต,ราชสีมา,ตรงข้าม วก. สวนดุสิต,Type B2,13.774617,100.510701,
161,MS 171,ดุสิต,ราชสีมา,ข้าง วก.สวนดุสิต,Type B2,13.774888,100.510747,
162,MS 172,ดุสิต,ราชสีมา,ตรงข้ามทางเข้า วก. สวนดุสิต,Type B2,13.775652,100.511153,
163,MS 173,ดุสิต,ราชสีมา,ก่อนถึงซอยสวนอ้อย,Type B2,13.778133,100.512309,
164,MS 174,ดุสิต,ราชสีมา,ตรงข้าม (ก.อ.ร.ม.น.) กองอำนวยการรักษาความมั่นคงภายใน,Type B2,13.778762,100.512691,
165,MS 175,ดุสิต,พิษณุโลก,หน้าสำนักงานข้าราชการพลเรือน,Type B2,13.763810,100.512844,
166,MS 176,ดุสิต,พิษณุโลก,ตรงข้ามสำนักงาน กพ.หน้าทำเนียบรัฐบาล,Type B2,13.764497,100.512405,
167,MS 177,ดุสิต,พิษณุโลก,หน้าทรัพย์สินส่วนพระมหากษัตริย์,Type B2,13.768558,100.507236,
168,MS 178,ดุสิต,สุโขทัย,บ. ครีเอทีฟ จก.,Type B2,13.775634,100.523240,
169,MS 179,ดุสิต,สุโขทัย,ตรงข้ามสมาคมนักเรียนเก่าอินดิเตีย,Type B2,13.774302,100.525938,
170,MS 180,ดุสิต,สุโขทัย,ตรงข้ามเขตดุสิต,Type B2,13.776933,100.519684,
171,MS 181,ดุสิต,ศรีอยุธยา,หน้าวิถิเบญจมิตร,Type B2,13.766871,100.514275,
172,MS 182,ดุสิต,ราชวิถี,วก. สวนดุสิต,Type B2,13.777787,100.509594,
173,MS 183,ดุสิต,ราชวิถี,ตรงข้ามสวนสัตว์ดุสิต,Type B2,13.774409,100.517418,
174,MS 184,ดุสิต,ราชวิถี,ซอย ราชวิถี ๑๒,Type B2,13.773155,100.520156,
175,MS 186,ดุสิต,สามเสน,หน้าห้างอดิสัน,Type B2,13.783815,100.511136,
176,MS 187,วังทองหลาง,ลาดพร้าว 71,สวนสาธารณะมัจฉะวัง 1 (ห้างหุ้นส่วนจำกัด เอแปด ออโต้ เซอร์วิส) (ทดแทน),Type B,13.790284,100.608332,
177,MS 188,ดุสิต,สามเสน,หน้าวิทยาลัยเขตเทเวศน์,Type B2,13.758689,100.591807,
178,MS 190,ดุสิต,นครไขยศรี,หน้ากรมสรรพสามิต,Type B2,13.777252,100.526303,
179,MS 191,ดุสิต,นครไขยศรี,ตรงข้ามศูนย์รถยนต์มิตซูบิชิ,Type B2,13.781329,100.518896,
180,MS 192,ดุสิต,นครไขยศรี,หน้าที่ชักคอนโดมิเนียม (เยื้องปั๊ม Cartex),Type B2,13.781312,100.518899,
181,MS 193,ดุสิต,นครไขยศรี,ซอย วัดแก้ได้ (หน้าบ้านเลขที่ ๑๐๔๖/๑๒),Type B2,13.782299,100.517172,
182,MS 194,ดุสิต,ศรีอยุธยา,หน้ากองบัญชาการตำรวจนครบาล,Type B2,13.768843,100.509756,
183,MS 195,ดุสิต,สวรรคโลก,หน้าบ้านเลขที่ ๓๑๓๑,Type B2,13.761835,100.522412,
184,MS 196,ดุสิต,พิษณุโลก,หน้าดสถาบิโยกพลที่ ๑ (หน้ากองบัญชาการตรวจนครบาล),Type B2,13.767140,100.509184,
185,MS 197,ดุสิต,พิษณุโลก,หน้ากองบัญชาการทัพนภาที่ ๑,Type B2,13.765163,100.511098,
186,MS 198,ดุสิต,อำนวยสงคราม,หน้า มทบ. ๑๑,Type B2,13.781365,100.522761,
187,MS 199,พระนคร,มหาราช,หน้าราชนาวีสโมสร,Type B2,13.751816,100.489308,
188,MS 200,พระนคร,มหาราช,หน้าสโมสรข้าราชการบริหาร,Type B2,13.747754,100.490158,
189,MS 201,พระนคร,มหาราช,หน้าวัดโพธิ์,Type B2,13.745329,100.491768,
190,MS 203,พระนคร,รอบสนามหลวง,หน้าศาลอาญา,Type B2,13.753734,100.493952,
191,MS 204,พระนคร,รอบสนามหลวง,หน้าโรงแรมรอยัลธุรกิจ,Type B2,13.755780,100.494445,
192,MS 205,พระนคร,ราชดำเนินนอก,หน้าสำนักงานท่องเที่ยวแห่งประเทศไทย,Type B2,13.760596,100.508068,
193,MS 206,พระนคร,ราชดำเนินนอก,หน้ากระทรวงพาณิชย์,Type B2,13.758870,100.507284,
194,MS 207,พระนคร,ราชดำเนินนอก,หน้ากองทำกิบารสวัสดิการเด็กและเยาวชน,Type B2,13.756854,100.506743,
195,MS 208,พระนคร,ราชดำเนินนอก,หน้าสำนักงาน สปก.,Type B2,13.757588,100.506785,
196,MS 209,พระนคร,ราชดำเนินนอก,หน้ากระทรวงเกษตรและสหกรณ์,Type B2,13.759386,100.507320,
197,MS 210,พระนคร,ราชดำเนินนอก,หน้าโรงเรียนแผนที่ทหาร,Type B2,13.760937,100.507976,
198,MS 211,พระนคร,ราชดำเนินนอก,หน้ากองทัพภาคที่ ๑,Type B2,13.766765,100.511872,
199,MS 212,พระนคร,ราชดำเนินนอก,ตรงข้ามกระทรวงศึกษาธิการ,Type B2,13.765130,100.509422,
200,MS 213,พระนคร,ราชดำเนินนอก,หน้ากระทรวงศึกษาธิการ,Type B2,13.764750,100.509733,
201,MS 214,พระนคร,ราชดำเนินนอก,ตรงข้ามกองทัพภาคที่ ๑,Type B2,13.766948,100.510803,
202,MS 215,พระนคร,มหาราช,หน้าราชนาวีสโมสร (พระที่นั่งราชกิจวินัจจัย),Type B2,13.749989,100.489561,
203,MS 216,พระนคร,ราชดำเนินนอก,หน้ายู เอ็น,Type B2,13.762370,100.509188,
204,MS 217,พระนคร,ราชดำเนินนอก,ตรงข้ามยู เอ็น,Type B2,13.762211,100.509119,
