timestamp,code,damage_items,notes
2026-04-14 17:27:00,NS 080,พลังงา:2;เก้าอี้:9;หลอดไฟ:3;ทำสี/ปรับปรุง;ระบบไฟ,
2026-05-03 08:45:00,MS 180,เก้าอี้:13;หลอดไฟ:10,
2026-04-16 19:57:00,ES 566,พลังงา:7;หลอดไฟ:2;เก้าอี้:11;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-04-17 11:26:00,SS 197,พลังงา:6;เก้าอี้:13;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-06-10 08:19:00,TNS 062,พลังงา:10;หลอดไฟ:10;ทำความสะอาด,
2026-05-26 20:37:00,SS 026,ไม่เสีย,
2026-04-22 18:05:00,ES 454,เก้าอี้:15;พลังงา:4;ทำความสะอาด;ทำสี/ปรับปรุง,
2026-06-24 18:39:00,TNS 055,ไม่เสีย,
2026-04-26 10:01:00,MS 064,พลังงา:5,
2026-05-31 17:54:00,TNS 228,ไม่เสีย,
2026-04-19 18:44:00,TNS 244,เก้าอี้:13;หลอดไฟ:8;Solar เสีย,
2026-04-14 20:27:00,ES 115,ไม่เสีย,
2026-06-06 15:03:00,ES 476,ไม่เสีย,
2026-05-27 17:52:00,ES 066,เก้าอี้:5;ทำสี/ปรับปรุง,
2026-06-21 12:49:00,MS 046,เก้าอี้:16;พลังงา:8;หลอดไฟ:5,
2026-05-07 11:17:00,MS 228,พลังงา:5;หลอดไฟ:8,
2026-05-24 14:21:00,ES 562,หลอดไฟ:4;พลังงา:7;เก้าอี้:5;Solar เสีย;ระบบไฟ,
2026-05-19 15:00:00,ES 136,หลอดไฟ:7;พลังงา:7;ระบบไฟ;ทำสี/ปรับปรุง,
2026-04-29 12:27:00,ES 437,เก้าอี้:18;พลังงา:9;Solar เสีย;ทำความสะอาด,
2026-06-19 16:01:00,SS 047,เก้าอี้:6;พลังงา:8,
2026-04-07 12:24:00,TNS 123,พลังงา:7;หลอดไฟ:3;เก้าอี้:15,
2026-04-11 15:01:00,MS 044,เก้าอี้:13;พลังงา:5;ทำสี/ปรับปรุง,
2026-04-06 20:01:00,ES 440,เก้าอี้:8;ระบบไฟ;ทำสี/ปรับปรุง,
2026-05-01 10:30:00,SS 231,หลอดไฟ:10,
2026-05-10 09:37:00,NS 158,หลอดไฟ:6;เก้าอี้:6;พลังงา:10;ระบบไฟ;ทำความสะอาด,
2026-05-10 17:43:00,MS 216,ไม่เสีย,
2026-05-09 18:38:00,SS 203,เก้าอี้:3;หลอดไฟ:10;Solar เสีย;ระบบไฟ,
2026-05-24 15:06:00,NS 073,หลอดไฟ:6;เก้าอี้:3;พลังงา:9;ทำสี/ปรับปรุง;ระบบไฟ,
2026-06-06 18:17:00,ES 297,พลังงา:3;เก้าอี้:14,
2026-04-12 12:56:00,ES 556,เก้าอี้:19;พลังงา:5;หลอดไฟ:6,
2026-04-24 15:13:00,ES 290,พลังงา:6;เก้าอี้:1;ทำสี/ปรับปรุง,
2026-04-25 09:15:00,ES 519,เก้าอี้:20;พลังงา:5;ระบบไฟ;ทำสี/ปรับปรุง,
2026-04-12 12:14:00,TNS 178,พลังงา:8;หลอดไฟ:8;ระบบไฟ,
2026-06-10 16:22:00,SS 035,เก้าอี้:19;ทำความสะอาด,
2026-04-16 19:12:00,NS 239,พลังงา:8;เก้าอี้:9;หลอดไฟ:5;Solar เสีย,
2026-04-25 12:14:00,ES 552,พลังงา:4;หลอดไฟ:8;เก้าอี้:9;ทำสี/ปรับปรุง;ระบบไฟ,
2026-06-10 12:44:00,TNS 182,หลอดไฟ:5;พลังงา:1,
2026-05-14 10:03:00,SS 083,เก้าอี้:19;หลอดไฟ:5;พลังงา:8;ทำความสะอาด,
2026-06-01 09:52:00,NS 009,ไม่เสีย,
2026-06-02 09:36:00,SS 081,ไม่เสีย,
2026-05-02 09:35:00,MS 224,หลอดไฟ:3;ทำสี/ปรับปรุง;ระบบไฟ,
2026-06-12 17:03:00,MS 143,พลังงา:8;หลอดไฟ:8;เก้าอี้:10;ทำความสะอาด;Solar เสีย,
2026-04-23 16:04:00,ES 288,หลอดไฟ:5;พลังงา:2;เก้าอี้:6,
2026-05-23 15:44:00,NS 179,ไม่เสีย,
2026-06-27 11:59:00,NS 145,หลอดไฟ:5;พลังงา:5;ทำความสะอาด;ระบบไฟ,
2026-06-20 17:42:00,ES 187,ไม่เสีย,
2026-04-20 12:52:00,TNS 200,เก้าอี้:4;Solar เสีย;ทำสี/ปรับปรุง,
2026-04-08 10:50:00,ES 097,ไม่เสีย,
2026-06-04 16:31:00,ES 225,พลังงา:2;เก้าอี้:15;หลอดไฟ:5;ทำความสะอาด;Solar เสีย,
2026-04-30 18:53:00,ES 318,หลอดไฟ:10;เก้าอี้:9;พลังงา:1,
2026-04-24 17:27:00,SS 172,หลอดไฟ:3;เก้าอี้:16;พลังงา:9;ทำความสะอาด;Solar เสีย,
2026-06-25 09:54:00,ES 332,หลอดไฟ:6;เก้าอี้:14;ทำสี/ปรับปรุง,
2026-05-23 19:31:00,TNS 046,ไม่เสีย,
2026-05-22 20:35:00,MS 279,ไม่เสีย,
2026-04-12 13:16:00,SS 108,ไม่เสีย,
2026-04-25 16:23:00,ES 131,พลังงา:9;หลอดไฟ:8;ระบบไฟ,
2026-05-07 15:56:00,MS 193,พลังงา:1;เก้าอี้:7;Solar เสีย,
2026-04-21 12:35:00,MS 184,หลอดไฟ:10,
2026-05-23 09:14:00,SS 106,ไม่เสีย,
2026-05-08 16:45:00,NS 092,เก้าอี้:4;Solar เสีย;ทำความสะอาด,
2026-06-01 15:15:00,NS 219,ไม่เสีย,
2026-05-06 20:50:00,ES 528,เก้าอี้:7;Solar เสีย;ระบบไฟ,
2026-06-14 18:31:00,SS 019,พลังงา:1;เก้าอี้:10;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-05-12 11:44:00,ES 024,พลังงา:6;เก้าอี้:11;ทำความสะอาด;Solar เสีย,
2026-05-20 11:54:00,TNS 129,ไม่เสีย,
2026-06-24 20:52:00,ES 235,เก้าอี้:16;ทำความสะอาด;Solar เสีย,
2026-06-04 17:21:00,TNS 049,เก้าอี้:2,
2026-04-10 15:50:00,NS 235,หลอดไฟ:1;เก้าอี้:5;Solar เสีย,
2026-06-20 19:56:00,TNS 190,พลังงา:2;เก้าอี้:11;ทำความสะอาด;Solar เสีย,
2026-06-21 19:55:00,TNS 229,หลอดไฟ:5;พลังงา:4;เก้าอี้:3;ระบบไฟ,
2026-04-22 19:19:00,SS 199,ไม่เสีย,
2026-05-18 14:09:00,MS 097,เก้าอี้:2;ทำสี/ปรับปรุง,
2026-05-23 17:43:00,ES 229,ไม่เสีย,
2026-06-27 11:31:00,ES 628,หลอดไฟ:2;ทำความสะอาด;ทำสี/ปรับปรุง,
2026-05-03 18:00:00,NS 024,หลอดไฟ:8;ทำสี/ปรับปรุง;Solar เสีย,
2026-06-21 14:44:00,ES 328,เก้าอี้:3;หลอดไฟ:8;ทำสี/ปรับปรุง,
2026-05-09 11:24:00,NS 063,ไม่เสีย,
2026-05-08 19:18:00,ES 007,หลอดไฟ:7;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-06-24 14:17:00,TNS 131,ไม่เสีย,
2026-06-27 20:47:00,TNS 126,ไม่เสีย,
2026-06-21 11:39:00,ES 553,พลังงา:4;เก้าอี้:20;หลอดไฟ:6,
2026-06-24 18:53:00,NS 161,ไม่เสีย,
2026-04-13 18:41:00,TNS 213,ไม่เสีย,
2026-05-27 08:37:00,ES 370,ไม่เสีย,
2026-04-23 11:08:00,NS 175,หลอดไฟ:5;ทำความสะอาด,
2026-05-14 20:07:00,ES 218,พลังงา:3;เก้าอี้:9;ทำสี/ปรับปรุง,
2026-05-17 09:50:00,SS 167,หลอดไฟ:4;ทำความสะอาด;ทำสี/ปรับปรุง,
2026-05-19 18:23:00,MS 009,พลังงา:8;หลอดไฟ:6;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-04-30 15:01:00,SS 195,ไม่เสีย,
2026-04-18 08:02:00,ES 412,เก้าอี้:15;หลอดไฟ:5;พลังงา:7,
2026-05-20 15:23:00,MS 168,หลอดไฟ:4;พลังงา:9,
2026-04-05 19:23:00,TNS 214,พลังงา:7;เก้าอี้:4;หลอดไฟ:8;ทำความสะอาด;Solar เสีย,
2026-05-27 11:54:00,ES 335,ไม่เสีย,
2026-05-29 09:42:00,NS 240,เก้าอี้:13;พลังงา:5;หลอดไฟ:4,
2026-06-21 17:01:00,TNS 252,ไม่เสีย,
2026-05-13 11:08:00,NS 222,ไม่เสีย,
2026-06-15 11:52:00,ES 002,หลอดไฟ:9,
2026-06-09 12:51:00,SS 113,หลอดไฟ:5;พลังงา:3,
2026-06-24 08:08:00,MS 063,ไม่เสีย,
2026-05-01 17:20:00,NS 135,ไม่เสีย,
2026-05-04 08:08:00,ES 040,ไม่เสีย,
2026-06-04 11:39:00,ES 230,หลอดไฟ:8;พลังงา:6;เก้าอี้:17;ระบบไฟ;Solar เสีย,
2026-06-24 16:19:00,MS 145,ไม่เสีย,
2026-06-27 09:31:00,MS 027,หลอดไฟ:8;ทำความสะอาด,
2026-04-09 10:17:00,ES 504,หลอดไฟ:6;พลังงา:10,
2026-04-13 20:44:00,ES 119,พลังงา:10;เก้าอี้:17;หลอดไฟ:5;ทำความสะอาด,
2026-06-23 18:56:00,ES 507,ไม่เสีย,
2026-05-24 19:06:00,ES 162,หลอดไฟ:4;เก้าอี้:14;พลังงา:6;ทำความสะอาด,
2026-04-12 09:05:00,ES 176,พลังงา:6;เก้าอี้:5;ทำความสะอาด;ระบบไฟ,
2026-04-16 14:22:00,TNS 151,พลังงา:9;เก้าอี้:2;หลอดไฟ:10;ทำสี/ปรับปรุง;ทำความสะอาด,
2026-04-14 17:32:00,NS 129,พลังงา:5;หลอดไฟ:10;ทำสี/ปรับปรุง,
2026-06-24 15:14:00,ES 142,ไม่เสีย,
2026-06-11 20:52:00,TNS 210,พลังงา:2;เก้าอี้:9;Solar เสีย;ทำความสะอาด,
2026-05-15 08:11:00,NS 226,พลังงา:1;หลอดไฟ:3;เก้าอี้:9;ทำสี/ปรับปรุง;Solar เสีย,
2026-05-24 15:21:00,TNS 221,พลังงา:3;เก้าอี้:1;หลอดไฟ:2;Solar เสีย;ทำความสะอาด,
2026-05-10 19:20:00,ES 258,ไม่เสีย,
2026-06-26 09:17:00,ES 267,พลังงา:3;หลอดไฟ:3;เก้าอี้:20,
2026-06-05 09:22:00,TNS 004,เก้าอี้:14;พลังงา:5,
2026-04-29 14:38:00,NS 107,พลังงา:9;เก้าอี้:10,
2026-04-27 12:13:00,SS 011,ไม่เสีย,
2026-04-23 10:24:00,ES 343,เก้าอี้:4;พลังงา:1;ทำความสะอาด,
2026-05-21 19:02:00,NS 216,พลังงา:9;ทำสี/ปรับปรุง;ระบบไฟ,
2026-06-21 14:18:00,SS 129,หลอดไฟ:10;เก้าอี้:14;ทำความสะอาด;ทำสี/ปรับปรุง,
2026-04-03 13:10:00,MS 281,ไม่เสีย,
2026-06-07 09:25:00,ES 438,เก้าอี้:14;พลังงา:2;หลอดไฟ:4;ทำความสะอาด,
2026-06-05 11:57:00,TNS 199,เก้าอี้:6;หลอดไฟ:2;พลังงา:9;ระบบไฟ;ทำสี/ปรับปรุง,
2026-05-03 11:11:00,TNS 147,พลังงา:4;หลอดไฟ:2,
2026-06-20 13:09:00,TNS 065,หลอดไฟ:8;พลังงา:10;เก้าอี้:19;ทำสี/ปรับปรุง,
2026-05-16 16:04:00,ES 416,เก้าอี้:9;พลังงา:10,
2026-06-22 09:39:00,TNS 113,หลอดไฟ:6;พลังงา:5,
