no,code,district,road,location,type,lat,long,folder_url
20,NS 022,จตุจักร,งามวงศ์วาน,หน้าเรือนจำคลองเปรม (1),Type B2,13.850077,100.55737,
21,NS 023,จตุจักร,งามวงศ์วาน,หน้าเรือนจำคลองเปรม (2),Type B2,13.850063,100.556947,
22,NS 024,จตุจักร,งามวงศ์วาน,ปากซอยงามวงศ์วาน 53,Type B2,13.851177,100.555376,
23,NS 025,จตุจักร,งามวงศ์วาน,ตรงข้ามปากซอยงามวงศ์วาน 53,Type B2,13.850812,100.55519,
24,NS 026,หลักสี่,งามวงศ์วาน,ปากซอยงามวงศ์วาน 47,Type B2,13.853082,100.551597,
25,NS 027,หลักสี่,งามวงศ์วาน,ตรงปากซอยงามวงศ์วาน 47,Type B2,13.853037,100.551215,
26,NS 028,หลักสี่,งามวงศ์วาน,ปากซอยงามวงศ์วาน 45,Type B,13.854719,100.549224,
27,NS 029,บางซื่อ,รัชดาภิเษก,หน้า BIG C วงศ์สว่าง,Type A,13.827038,100.527353,
28,NS 030,บางซื่อ,พิบูลย์สงคราม,หน้าหมู่บ้านพิบูลย์ (ก่อนถึงสถาบันพระจอมเกล้าพระนครเหนือ),Type B2,13.820477,100.5088,
29,NS 031,บางซื่อ,วงศ์สว่าง,เซชิงสะพานวงศ์สว่าง,Type B2,13.824734,100.524564,
30,NS 032,บางซื่อ,วงศ์สว่าง,หน้าวัดประชาศรัทธาราม,Type B2,13.818806,100.518135,
31,NS 033,บางซื่อ,วงศ์สว่าง,ร้านสมไทยโลหะภัณฑ์ (ตรงข้ามลานใต้สะพานพระราม 7),Type B2,13.817882,100.51576,
32,NS 034,บางซื่อ,วงศ์สว่าง,ตรงข้ามวงค์สว่างซอย 15,Type B2,13.821883,100.521546,
33,NS 035,บางซื่อ,ประชาชื่น,สมาคมศิษย์เก่าอำานวยศิลป์ (ประชาชื่นช.46),Type B2,13.848433,100.543268,
34,NS 036,บางซื่อ,ประชาชื่น,ตรงข้ามประชาชน 44,Type B2,13.846365,100.542693,
35,NS 037,บางซื่อ,ประชาชื่น,ทางเข้า สน. ประชาชื่น ตรงข้าม ซ.38,Type B2,13.8425636,100.541956,
36,NS 038,บางซื่อ,ประชาชื่น,ตรงข้ามประชาชื่น ซ.29 ตรงข้ามห้องอาหารวังอีสาน,Type B2,13.82723,100.538366,
37,NS 039,บางซื่อ,ประชาชื่น,ตรงข้ามซอยประชาชื่น 26,Type B2,13.824426,100.537725,
38,NS 040,บางซื่อ,ประชาชื่น,ตรงข้ามโรงเรียนสมศรีรื่นศึกษา เยืองประชาชนช.22 (ก่อนถึงทางรถไฟ),Type B2,13.822009,100.537142,
39,NS 041,บางซื่อ,ประชาชื่น,ตรงข้ามปิม รนELL (ตรงข้ามประชาชื่นข.19),Type B2,13.818983,100.53646,
40,NS 042,บางซื่อ,ประชาชื่น,ตรงข้ามซ.ประชาชื่น 17,Type B2,13.817041,100.536019,
41,NS 043,บางซื่อ,ประชาชื่น,1 น หน้าทางเข้าหมู่บ้านซีเมนต์ไทย (ตรงข้ามประชาชื่น ซ.31-32),Type B2,13.8352278,100.540251,
42,NS 044,บางซื่อ,ประชาชื่น,ตรงข้ามซอยประชาชื่น 1ด,Type B2,13.812976,100.535094,
43,NS 045,บางซื่อ,ประชาชื่น,ตรงข้ามซอยประชาชื่น 8,Type B2,13.811125,100.534527,
44,NS 046,บางซื่อ,ประชาชื่น,ซอย ประชาชื่น 9,Type B2,13.811793,100.534594,
45,NS 047,บางซื่อ,ประชาชื่น,หน้าอู่รถเมล์67,Type B2,13.818593,100.536102,
46,NS 048,บางซื่อ,ประชาชื่น,ก่อนถึงทางรถไฟ,Type B2,13.820164,100.536547,
47,NS 049,บางซื่อ,ประชาชื่น,ซอย ประชาชื่น 25,Type B2,13.823776,100.537322,
48,NS 050,บางซื่อ,ประชาชื่น,6 โชว์รูมโตโยต้า,Type B2,13.826567,100.5379,
49,NS 051,บางซื่อ,ประชาชื่น,หน้าปั้ม ปตท.,Type B2,13.834743,100.539906,
50,NS 052,บางซื่อ,ประซาชื่น,O หน้าห้องสมุดประชาชนบางซื่อ,Type B2,13.83801,100.54069,
51,NS 053,บางซื่อ,ประชาชื่น,ตรงข้ามซอยประชาชื่น 35 (หน้าหมู่บ้านชลนิเวศน์)ทรงไทย,ทรงไทย,13.838651,100.54085,
52,NS 054,บางซื่อ,ประชาชื่น,น ตรงข้ามซอยประชาชื่น 37,Type B2,13.841326,100.541736,
53,NS 055,บางซื่อ,ประชาชื่น,ใกล้ซอยประชาชื่น 37,Type B2,13.841643,100.541526,
54,NS 056,บางซื่อ,ประชาชื่น,ก่อนถึงประชาชื่น 39,Type B2,13.843194,100.541871,
55,NS 057,บางซชื่อ,ประชาชื่น,ซอยประชาชื่น 42,Type B2,13.845469,100.542429,
56,NS 058,บางซื่อ,ประชาชื่น,ซอยประชาชื่น 46,Type B2,13.848143,100.543101,
57,NS 059,บางซื่อ,รัชดาภิเษก,เชิงสะพานลอยข้ามคลองประปา (นิตยาไก่ย่างซ.รัชดาภิเษก 35),Type B2,13.830356,100.537262,
58,NS 060,บางซื่อ,รัชดาภิเษก,หน้าโชว์รูมมิตซูบิชิ มอเตอร์ (ระหว่างซ.รัชดาภิเษกซ.37-39),Type B2,13.830568,100.53432,
59,NS 061,บางซื่อ,รัชดาภิเษก,ใกล้ ซ.รัชดาภิเษก 60,Type B2,13.830301,100.542534,
60,NS 062,บางซื่อ,รัชดาภิเษก,ซอยประชานุกูล 1 รัชดาอ2,Type B2,13.830812,100.537177,
61,NS 063,บางซื่อ,รัชดาภิเษก,หน้าสนง.สนับสนุนหน่วยบัญชาการทหารพัฒนา (ตรงข้ามซ.34) 9,Type B2,13.830301,100.531979,
62,NS 064,บางซื่อ,รัชดาภิเษก,ใต้เชิงสะพานแยกวงศ์สว่างก่อนถึงบี้กซีวงศ์สว่าง(รัชดาภิเษก ซ.43),Type B2,13.829148,100.529576,
63,NS 065,บางซื่อ,รัชดาภิเษก,เลยแยกวงศ์สว่าง (ตรงข้ามรัชดาภิเษกซ.43),Type B2,13.829455,100.529566,
64,NS 066,บางซื่อ,รัชดาภิเษก,ตรงข้ามกรป.กลาง (หน้าร้าน AZAP รัชดาภิเษก ซ.74),Type B2,13.830815,100.532314,
65,NS 067,บางซชื่อ,รัชดาภิเษก,ตรงข้ามศิริชัยไก่ย่าง,Type B2,13.831189,100.534677,
66,NS 068,บางซื่อ,กรุงเทพ-นนทบุรี,ตรงข้ามวัดทองสุธาราม(ตรงข้ามซ.56),Type B2,13.830779,100.525192,
67,NS 069,บางซื่อ,กรุงเทพ-นนทบุรี,หน้าวัดเลียบราษฎร์บำรุง,Type B2,13.832454,100.523378,
68,NS 070,บางซื่อ,ประชาราษฎร์,บ ตรงข้าม สน.เตาปูน,Type B2,13.8148241,100.531921,
69,NS 071,บางซื่อ,ประชาราษฎร์,หน้าปณ.บางซื่อ,Type B2,13.816782,100.532207,
70,NS 072,บางซื่อ,กรุงเทพ-นนทบุรี,MRT บางซ่อน (เลยซอยกรุงเทพ-นนทบุรี23/1),Type B2,13.8197313,100.532379,
71,NS 073,บางซื่อ,กรุงเทพ-นนทบุรี,ตรงข้าม รง.ทอผ้ากรุงเทพ (MRT บางซ่อน ก่อนถึงซอยกรุงเทพ-นนทบุรี 34) 0,Type B2,13.819754,100.532517,
72,NS 074,บางซื่อ,กรุงเทพ-นนทบุรี,ตรงข้ามศูนย์ฝึกอาชีพทหารผ่านศึก,Type B2,13.822997,100.532765,
73,NS 075,บางซื่อ,กรุงเทพ-นนทบุรี,หน้าสถานีตำรวจนครบาลเตาปูน,Type B2,13.814431,100.531746,
74,NS 076,บางซื่อ,ประชาราษฎร์,0 หน้าศูนย์เบนซ์มงคล,Type B2,13.827162,100.529738,
75,NS 077,บางซื่อ,ประชาราษฎร์,บ,Type B2,13.812438,100.53176,
76,NS 078,บางซื่อ,พิบูลย์สงคราม,หน้าเทคโนโลยีพระจอมเกล้าพระนครเหนือ,Type B2,13.8188749,100.513651,
77,NS 079,บางซื่อ,พิบูลย์สงคราม,หน้าเทคโนโลยีราชมงคล,Type B2,13.8186566,100.513698,
78,NS 080,บางซื่อ,ประชาราษฎร์ สาย 1,ตรงข้ามกรมการอุตสาหกรรมทหาร,Type B2,13.803485,100.521433,
79,NS 081,บางซื่อ,ประชาราษฎร์ สาย1,ตรงข้ามสถานีดับเพลิงบางโพ,Type B2,13.8035807,100.521406,
80,NS 082,บางซื่อ,ประชาราษฎร์สาย1,หน้าโรงรับจำนำทวีแสงไทย,Type B2,13.804286,100.521425,
81,NS 083,บางซื่อ,ประชาราษฎร์ สาย1,ตรงข้ามบ. พงศ์ถาวรกิจ,Type B2,13.807784,100.521676,
82,NS 084,บางซื่อ,ประชาราษฎร์ สาย1,ตรงข้ามโรงจำนำนิมิตร,Type B2,13.8138076,100.521201,
83,NS 085,บางซื่อ,ประชาราษฎร์ สาย 1,หน้าวัดสร้อยทอง,Type B2,13.813858,100.518364,
84,NS 086,บางซื่อ,เตชะวณิช,ตรงข้ามวัดสะพานสูง,ลอนโค้ง,13.799223,100.53303,
85,NS 087,บางซื่อ,เตชะวณิช,ตรงข้ามสาธารณะสุขบางซื่อ(หน้า เซเว่นอิเลเว่น),Type B2,13.801781,100.534623,
86,NS 088,บางซื่อ,เตชะวณิซ,บ หน้าสาธารณะสุข บางซื่อ,Type B2,13.801974,100.5345,
87,NS 089,บางซื่อ,พิบูลย์สงคราม,หน้าเทคโนโลยีพระจอมเกล้าพระนครเหนือ,Type B2,13.818754,100.51387,
88,NS 090,บางซื่อ,พิบูลย์สงคราม,หน้าเทคโนโลยีพระจอมเกล้าพระนครเหนือ,Type B2,13.818784,100.51387,
89,NS 091,ลาดพร้าว,ประดิษฐ์มนูธรรม,หน้าห้าง Lotus (1),Type B2,13.800886,100.614898,
90,NS 092,ลาดพร้าว,ประดิษฐ์มนูธรรม,y 9 หน้าห้าง Lotus (2),Type B2,13.800997,100.615022,
91,NS 093,ลาดพร้าว,ประดิษฐ์มนูธรรม,a เลยห้าง Lotนร มาป้ายแรก (เลย ซ.ประดิษฐ์มนูธรรม ด5),Type B2,13.803935,100.61637,
92,NS 094,ลาดพร้าว,ประดิษฐ์มนูธรรม,o หน้าบ้านเลขที่ 142/9 (เลยซอยประดิษฐ์มนูธรรม ด5),Type B2,13.796833,100.613925,
93,NS 095,ลาดพร้าว,ประดิษฐ์มนูธรรม,หน้าร้านอาหารครัวธรรมชาติ (ไกล้ร้านอาหารครัวหลวงเทพ),Type B2,13.807501,100.617992,
94,NS 096,ลาดพร้าว,ประดิษฐุ์มนูธรรม,หน้าห้าง The Crystal Park,Type B2,13.811027,100.619668,
95,NS 097,ลาดพร้าว,ประดิษฐ์มนูธรรม,เลยคลองจั่น,Type B2,13.814206,100.621619,
96,NS 098,ลาดพร้าว,ประดิษฐ์มนูธรรม,หน้าร้านอาหารซุ้มเคียงดาว (หน้าร้านอาหารกะทะร้อน),Type B2,13.821456,100.625824,
97,NS 099,ลาดพร้าว,ประดิษฐ์มนูธรรม,ก่อนถึงหมู่บ้านมณเฑียรทิพย์,Type B2,13.830561,100.629582,
98,NS 100,ลาดพร้าว,ประดิษฐ์มนูธรรม,หน้าป้มบางจาก (ก่อนถึงถนนสุคนธสวัสดิ์),Type B2,13.835526,100.631668,
99,NS 101,ลาดพร้าว,ประดิษฐ์มนูธรรม,เลยแยกถนนสุคนธสวัสดิ์ (ก่อนแยกถนนเกษตรนวมินทร์),Type B2,13.839785,100.633908,
100,NS 102,ลาดพร้าว,ประดิษฐ์มนูธรรม,ก่อนถึงคลองเจ้าคุณสิงห์,Type B2,13.794356,100.612478,
101,NS 103,ลาดพร้าว,ประดิษฐ์มนูธรรม,หน้าร้านสุทัศน์คาร์แคร์,Type B2,13.816509,100.622753,
102,NS 104,ลาดพร้าว,สังคมสงเคราะห์,บริเวณถนนนาคนิวาส,Type B,13.795246,100.607691,
103,NS 105,ลาดพร้าว,นาคนิวาส,0 บริเวณซอยนาคนิวาส 1,Type B,13.79587,100.606909,
104,NS 106,ลาดพร้าว,นาคนิวาส,บริเวณเยื้องซอยนาคนิวาสด,Type B,13.796339,100.606858,
105,NS 107,ลาดพร้าว,นาคนิวาส,2 บริเวณปากซอยนาคนิวาส 2ด,Type B,13.804206,100.607094,
106,NS 108,ลาดพร้าว,นาคนิวาส,บริเวณเยื้องซอยนาคนิวาส 2ด,Type B,13.803956,100.606883,
107,NS 109,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 27,Type B,13.8061406,100.607777,
108,NS 110,ลาดพร้าว,นาคนิวาส,บริเวณเยื้องซอยนาคนิวาส 27,Type B,13.806092,100.607979,
109,NS 111,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 33,Type B,13.8082,100.608585,
110,NS 112,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 22,Type B,13.807157,100.60824,
111,NS 113,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 45,Type B,13.8125636,100.610491,
112,NS 114,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 49,Type B,13.8152475,100.610247,
113,NS 115,ลาดพร้าว,นาคนิวาส,บริเวณเยืองซอยนาคนิวาส 49,Type B2,13.815246,100.610496,
114,NS 116,ลาดพร้าว,นาคนิวาส,บริเวณซอยนาคนิวาส 63,Type B,13.8202203,100.609187,
115,NS 117,ลาดพร้าว,นาคนิวาส,บริเวณตรงข้ามค่ายมวยคงสิทธา,Type B,13.8223603,100.608979,
116,NS 118,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณซอยสุคนธสวัสดิ์ 2,Type B,13.824007,100.60977,
117,NS 119,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณเยื้องซอยสุคนธสวัสดิ์ 2,Type B,13.824197,100.609685,
118,NS 120,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณซอยสุคนธสวัสดิ์,Type B,13.824217,100.609714,
119,NS 121,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณเยื้องซอยสุคนธสวัสดิ์,Type B,13.824099,100.612838,
120,NS 122,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณซอยสุคนธสวัสดิ์ ด0,Type B,13.824047,100.61547,
121,NS 123,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณเยื้องซอยสุคนธสวัสดิ์10,Type B,13.824107,100.615193,
122,NS 124,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณซอยสุคนธสวัสดิ์ 3,Type B,13.824037,100.615171,
123,NS 125,ลาดพร้าว,สุคนธสวัสดิ์,-,Type B,13.824274,100.617072,
124,NS 126,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณหน้าตลาดสุคนธสวัสดิ์,Type B,13.827786,100.622958,
125,NS 127,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณตรงข้ามหน้าตลาดสุคนธสวัสดิ์,Type B,13.827586,100.622929,
126,NS 128,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณตรงข้ามโรงเรียนอนุบาลครูเกียว,Type B,13.834821,100.626795,
127,NS 129,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณโค้งโรงเรียนโซคชัย (เยื้อง ซอยสุคนธสวัสดิ์ 25/1),Type B,13.8356163,100.628177,
128,NS 130,ลาดพร้าว,สุคนธสวัสดิ์,บริเวณหน้าค่ายมวยคงสิทธา,Type B,13.8221688,100.608819,
129,NS 131,บางเขน,สุขาภิบาล 5,O หน้าตลาดกองบินตำารวจ กม.5,Type B,13.863288,100.636913,
130,NS 132,บางเขน,สุขาภิบาล 5,ตรงข้ามตลาดกองบินตำรวจ กม.5,Type B2,13.862916,100.636427,
131,NS 134,บางเขน,พหลโยธิน,บริเวณหน้ากรมทหารราบที่ 11 (ตรงข้ามธนาคารอาคารสงเคราะห์),ลอนโค้ง,13.868977,100.592531,
132,NS 135,บางเขน,พหลโยธิน,บริเวณหน้ากรมทหารราบที่ 11 (ตรงข้ามซอยพหลโยธิน 5ด),ลอนโค้ง,13.8661408,100.591255,
133,NS 136,บางเขน,พหลโยธิน,บริเวณหน้ากรมทหารราบที่ 11 (ทางเข้ากองพันทหารราบ),ลอนโค้ง,13.86461,100.589805,
134,NS 137,บางเขน,พหลโยธิน,บริเวณหน้ากรมทหารราบที่11 (ตรงข้ามโรงรับจำนำ),ลอนโค้ง,13.859883,100.587571,
135,NS 138,บางเขน,พหลโยธิน,บริเวณตรงข้ามกองพันทหารราบที 11 (หน้าโรงรับจำนำ),ลอนโค้ง,13.8601813,100.587527,
136,NS 139,บางเขน,พหลโยธิน,บริเวณหน้าร้านอาหารบางบัว ถนนพหลโยธิน (ขาออก),ลอนโค้ง,13.861913,100.587822,
137,NS 140,บางเขน,พหลโยธิน,บริเวณปากซอยพหลโยธิน 49/2,ลอนโค้ง,13.8650212,100.590375,
138,NS 141,บางเขน,พหลโยธิน,บริเวณปากซอยพหลโยธิน 57,ลอนโค้ง,13.8803761,100.59944,
139,NS 142,บางเขน,พหลโยธิน,บริเวณปากซอยพหลโยธิน 61,ลอนโค้ง,13.883523,100.601395,
140,NS 143,บางเขน,พหลโยธิน,บริเวณปากซอยพหลโยธิน 67,ลอนโค้ง,13.886661,100.603228,
141,NS 144,บางเขน,พหลโยธิน,บริเวณหน้าธนาคารกรุงไทย ถนนพหลโยธิน (ขาออก),ลอนโค้ง,13.8884349,100.604214,
142,NS 145,บางเขน,พหลโยธิน,บริเวณหน้าตลาดยิ่งเจริญ,ลอนโค้ง,13.8969586,100.609246,
143,NS 146,บางเขน,พหลโยธิน,สถานี BTS สายหยุด ฝั่งขาเข้า (ตรงข้ามธนาคารกรุงไทย สาขาสะพานใหม่,Type B2,13.888791,100.604469,
144,NS 147,บางเขน,พหลโยธิน,สถานี BTS กรมทหารราบที่11 ฝั่งขาออก,Type B2,13.868727,100.592569,
145,NS 149,บางเขน,พหลโยธิน,สถานีพหลโยธิน 24 (Nด0) ฝั่งขาออก ตรงข้ามโรงเรียนสตรีวรนาถบางเขน บริเวณ P.,Type B2,13.8215915,100.564856,
146,NS 150,บางเขน,พหลโยธิน,2 0 สถานีรัชโยธิน (Nด1) ฝั่งขาออก ระหว่าง P.99 - P101,Type B2,13.830885,100.570265,
147,NS 151,บางเขน,พหลโยธิน,บริเวณหน้าบิกซี สะพานใหม่ เขตบางเขน,Type B2,13.891037,100.605962,
148,NS 152,บางเขน,วัชรพล,ซอยรัตนโกสินทร์สมโภชน์เขตบางเขน,Type B2,13.871884,100.64389,
149,NS 153,บางเขน,วัชรพล,บริเวณหน้าโรงเรียนรัตนโกสินทร์สมโภชบางเขน,Type B2,13.87002,100.644551,
150,NS 154,บางเขน,วัชรพล,บริเวณตรงข้ามหน้าโรงเรียนรัตนโกสินทร์สมโภชบางเขน,Type B2,13.870132,100.64445,
151,NS 155,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)หน้าคอนโดเอพพิโซด Episode(ตรงข้าม CGH Hospital) 1,Type B2,13.889817,100.607509,
152,NS 156,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 5o)หน้าคอนโดเอพพิโซด Episode(ตรงข้าม CGH Hospital) 2,Type B2,13.889894,100.607339,
153,NS 157,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้านโตรากู ซูซิ (dorลkน Sนรh) เลยตลาดนัดยิ่งรวย ช.ชุมชลเมตรา (2),Type B2,13.888053,100.612568,
154,NS 158,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์(พหลโยธิน 50)ร้านโตรากูซูชิ (dorลkน Sนรh) เลยตลาดนัดยิ่งรวย ซ.ชุมชลเมตรา (1),Type B2,13.887035,100.614201,
155,NS 159,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)หน้าหมู่บ้านสวนทองวิลล่า 4 เทพรักษ์ 3ด,Type B2,13.886285,100.616975,
156,NS 160,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้าน กูโรตีชาชัก ดูสะพานใหม่ ก่อนถึงเทพรักษ์41,Type B2,13.884307,100.620255,
157,NS 161,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้าน ครัวสุดาข้าวแกงใต้ นครศรีๆ เทพรักษ์ 45 (1),Type B2,13.883328,100.622976,
158,NS 162,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้าน ครัวสุดาข้าวแกงใต้ นครศรีๆ เทพรักษ์ 45 (2),Type B2,13.883328,100.632081,
159,NS 163,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ตรงข้ามหมู่บ้าน ร็อคการ์เด้นเพลส์,Type B2,13.880465,100.627622,
160,NS 164,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ชุมชนหมู่บ้านอนันต์สุขสันต์ 18-19-20 ข้างปั้ม Shell (2) เทพรักษ์ 49,Type B2,13.880569,100.627648,
161,NS 165,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้าน ป.ประทีบก๋วยเตี่ยวเรือ/ก่อนถึง La Chapelle Bangkok,Type B2,13.87827,100.632081,
162,NS 166,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์(พหลโยธิน 50)เลยหมู่บ้านศุภาลัยพรีม่าวิลล่า,Type B2,13.877375,100.635152,
163,NS 167,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)หมู่บ้านร็อคการ์เด้นเพลส์,Type B2,13.8754109,100.645119,
164,NS 168,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์(พหลโยธิน 50)ตรงข้ามหมู่บ้านร็อคการ์เด้นเพลส์,Type B2,13.875581,100.644974,
165,NS 169,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ร้านยางกริพ (บริษัท จรัญล้อแม็กฯ) เลย Villล De Bua,Type B2,13.877509,100.63432,
166,NS 170,บางเขน,เทพรักษ์ (เพหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ไกล้ปิ้ม ปตท. ตรงข้าม ป.ประทีบก๋วยเตี่ยวเรือ,Type B2,13.87822,100.631805,
167,NS 171,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ตรงข้าม ชุมชนหมู่บ้านอนันต์สุขสันต์ 18-19-20 (ตรงข้ามปัม Shell),Type B2,13.878214,100.631816,
168,NS 172,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)หน้าหมู่บ้าน ที่มีร้านแว่นตานักทัศนมาตร (ทางเข้าร้านบ้านระเบียงบึง),Type B2,13.883827,100.620782,
169,NS 173,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)หมู่บ้านสินทรัพย์นคร (ตรงข้ามร้านDorakน Sushi),Type B2,13.885778,100.61725,
170,NS 174,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ตรงข้ามซอยเทพรักษ์ 48/1,Type B2,13.876875,100.63764,
171,NS 175,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ตรงข้ามหมู่บ้าน หลุยส์ แกรนด์เพลส์ (เลยร้านตำแซ่บริมบึง),Type B2,13.875132,100.641644,
172,NS 176,ดอนเมือง,สรงประภา,ก่อนซอยสรงประภา 9 (หน้าตลาดบุญอนันต์),Type B2,13.9269479,100.586681,
173,NS 177,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50) ปากทางที่จะไปสนามกีฬารามอินทรา 5 เยื้องครัวสุดาข้าวแกงใต้ (1),Type B2,13.881961,100.623768,
174,NS 178,บางเขน,เทพรักษ์ (พหลโยธิน 50),ปากทางที่จะไปสนามกีฬารามอินทรา 5 เยื้องครัวสุดาข้าวแกงใต้ (2),Type B2,13.8822483,100.623518,
175,NS 179,บางเขน,เทพรักษ์ (พหลโยธิน 50),เทพรักษ์ (พหลโยธิน 50)ตรงข้าม ร้าน กูโรตีชาชัก ลสะพานใหม่ ตรงข้ามเทพรักษ์ 41,Type B2,13.880041,100.624851,
176,NS 180,ดอนเมือง,สรงประภา,ปากซอยสรงประภา ด3 (หน้าหมู่บ้านสีกานต์),Type B2,13.9309226,100.573675,
177,NS 181,บางเขน,เทพรักษ์ (พหลโยธิน 50),หมู่บ้าน หลุยส์ แกรนด์เพลส์,Type B2,13.874978,100.641713,
